Symbol,Date,NOCP
GOOG,11/23/2018 13:00,1023.88
GOOG,11/26/2018 16:00,1048.62
GOOG,11/27/2018 16:00,1044.41
GOOG,11/28/2018 16:00,1086.23
GOOG,11/29/2018 16:00,1088.3
GOOG,11/30/2018 16:00,1094.43
GOOG,12/3/2018 16:00,1106.43
GOOG,12/4/2018 16:00,1050.82
GOOG,12/6/2018 16:00,1068.73
GOOG,12/7/2018 16:00,1036.58
GOOG,12/10/2018 16:00,1039.55
GOOG,12/11/2018 16:00,1051.75
GOOG,12/12/2018 16:00,1063.68
GOOG,12/13/2018 16:00,1061.9
GOOG,12/14/2018 16:00,1042.1
GOOG,12/17/2018 16:00,1016.53
GOOG,12/18/2018 16:00,1028.71
GOOG,12/19/2018 16:00,1023.01
GOOG,12/20/2018 16:00,1009.41
GOOG,12/21/2018 16:00,979.54
GOOG,12/24/2018 13:00,976.22
GOOG,12/26/2018 16:00,1039.46
GOOG,12/27/2018 16:00,1043.88
GOOG,12/28/2018 16:00,1037.08
GOOG,12/31/2018 16:00,1035.61
GOOG,1/2/2019 16:00,1045.85
GOOG,1/3/2019 16:00,1016.06
GOOG,1/4/2019 16:00,1070.71
GOOG,1/7/2019 16:00,1068.39
GOOG,1/8/2019 16:00,1076.28
GOOG,1/9/2019 16:00,1074.66
GOOG,1/10/2019 16:00,1070.33
GOOG,1/11/2019 16:00,1057.19
GOOG,1/14/2019 16:00,1044.69
GOOG,1/15/2019 16:00,1077.15
GOOG,1/16/2019 16:00,1080.97
GOOG,1/17/2019 16:00,1089.9
GOOG,1/18/2019 16:00,1098.26
GOOG,1/22/2019 16:00,1070.52
GOOG,1/23/2019 16:00,1075.57
GOOG,1/24/2019 16:00,1073.9
GOOG,1/25/2019 16:00,1090.99
GOOG,1/28/2019 16:00,1070.08
GOOG,1/29/2019 16:00,1060.62
GOOG,1/30/2019 16:00,1089.06
GOOG,1/31/2019 16:00,1116.37
GOOG,2/1/2019 16:00,1110.75
GOOG,2/4/2019 16:00,1132.8
GOOG,2/5/2019 16:00,1145.99
GOOG,2/6/2019 16:00,1115.23
GOOG,2/7/2019 16:00,1098.71
GOOG,2/8/2019 16:00,1095.06
GOOG,2/11/2019 16:00,1095.01
GOOG,2/12/2019 16:00,1121.37
GOOG,2/13/2019 16:00,1120.16
GOOG,2/14/2019 16:00,1121.67
GOOG,2/15/2019 16:00,1113.65
GOOG,2/19/2019 16:00,1118.56
GOOG,2/20/2019 16:00,1113.8
GOOG,2/21/2019 16:00,1096.97
GOOG,2/22/2019 16:00,1110.37
GOOG,2/25/2019 16:00,1109.4
GOOG,2/26/2019 16:00,1115.13
GOOG,2/27/2019 16:00,1116.05
GOOG,2/28/2019 16:00,1119.92
GOOG,3/1/2019 16:00,1140.99
GOOG,3/4/2019 16:00,1147.8
GOOG,3/5/2019 16:00,1162.03
GOOG,3/6/2019 16:00,1157.86
GOOG,3/7/2019 16:00,1143.3
GOOG,3/8/2019 16:00,1142.32
GOOG,3/11/2019 16:00,1175.76
GOOG,3/12/2019 16:00,1193.2
GOOG,3/13/2019 16:00,1193.32
GOOG,3/14/2019 16:00,1185.55
GOOG,3/15/2019 16:00,1184.46
GOOG,3/18/2019 16:00,1184.26
GOOG,3/19/2019 16:00,1198.85
GOOG,3/20/2019 16:00,1223.97
GOOG,3/21/2019 16:00,1231.54
GOOG,3/22/2019 16:00,1205.5
GOOG,3/25/2019 16:00,1193
GOOG,3/26/2019 16:00,1184.62
GOOG,3/27/2019 16:00,1173.02
GOOG,3/28/2019 16:00,1168.49
GOOG,3/29/2019 16:00,1173.31
GOOG,4/1/2019 16:00,1194.43
GOOG,4/2/2019 16:00,1200.49
GOOG,4/3/2019 16:00,1205.92
GOOG,4/4/2019 16:00,1215
GOOG,4/5/2019 16:00,1207.15
GOOG,4/8/2019 16:00,1203.84
GOOG,4/9/2019 16:00,1197.25
GOOG,4/10/2019 16:00,1202.16
GOOG,4/11/2019 16:00,1204.62
GOOG,4/12/2019 16:00,1217.87
GOOG,4/15/2019 16:00,1221.1
GOOG,4/16/2019 16:00,1227.13
GOOG,4/17/2019 16:00,1236.34
GOOG,4/18/2019 16:00,1236.37
GOOG,4/22/2019 16:00,1248.84
GOOG,4/23/2019 16:00,1264.55
GOOG,4/24/2019 16:00,1256
GOOG,4/25/2019 16:00,1263.45
GOOG,4/26/2019 16:00,1272.18
GOOG,4/29/2019 16:00,1287.58
GOOG,4/30/2019 16:00,1188.48
GOOG,5/1/2019 16:00,1168.08
GOOG,5/2/2019 16:00,1162.61
GOOG,5/3/2019 16:00,1185.4
GOOG,5/6/2019 16:00,1189.39
GOOG,5/7/2019 16:00,1174.1
GOOG,5/8/2019 16:00,1166.27
GOOG,5/9/2019 16:00,1162.38
